title,r_psp_MMGBSA_dG_Bind,r_psp_MMGBSA_dG_Bind_Coulomb,r_psp_MMGBSA_dG_Bind_Covalent,r_psp_MMGBSA_dG_Bind_Hbond,r_psp_MMGBSA_dG_Bind_Lipo,r_psp_MMGBSA_dG_Bind_Packing,r_psp_MMGBSA_dG_Bind_SelfCont,r_psp_MMGBSA_dG_Bind_Solv_GB,r_psp_MMGBSA_dG_Bind_Solv_SA,r_psp_MMGBSA_dG_Bind_vdW,r_psp_Lig_Strain_Energy,r_psp_Lig_Strain_Coulomb,r_psp_Lig_Strain_Covalent,r_psp_Lig_Strain_Hbond,r_psp_Lig_Strain_Lipo,r_psp_Lig_Strain_Packing,r_psp_Lig_Strain_SelfCont,r_psp_Lig_Strain_Solv_GB,r_psp_Lig_Strain_Solv_SA,r_psp_Lig_Strain_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Complex_Energy,r_psp_Complex_Coulomb,r_psp_Complex_Covalent,r_psp_Complex_Hbond,r_psp_Complex_Lipo,r_psp_Complex_Packing,r_psp_Complex_SelfCont,r_psp_Complex_Solv_GB,r_psp_Complex_Solv_SA,r_psp_Complex_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Receptor_Energy,r_psp_Receptor_Coulomb,r_psp_Receptor_Covalent,r_psp_Receptor_Hbond,r_psp_Receptor_Lipo,r_psp_Receptor_Packing,r_psp_Receptor_SelfCont,r_psp_Receptor_Solv_GB,r_psp_Receptor_Solv_SA,r_psp_Receptor_vdW,r_psp_MMGBSA_dG_Bind(NS),r_psp_MMGBSA_dG_Bind(NS)_Coulomb,r_psp_MMGBSA_dG_Bind(NS)_Covalent,r_psp_MMGBSA_dG_Bind(NS)_Hbond,r_psp_MMGBSA_dG_Bind(NS)_Lipo,r_psp_MMGBSA_dG_Bind(NS)_Packing,r_psp_MMGBSA_dG_Bind(NS)_SelfCont,r_psp_MMGBSA_dG_Bind(NS)_Solv_GB,r_psp_MMGBSA_dG_Bind(NS)_Solv_SA,r_psp_MMGBSA_dG_Bind(NS)_vdW,r_psp_Rec_Strain_Energy,r_psp_Rec_Strain_Coulomb,r_psp_Rec_Strain_Covalent,r_psp_Rec_Strain_Hbond,r_psp_Rec_Strain_Lipo,r_psp_Rec_Strain_Packing,r_psp_Rec_Strain_SelfCont,r_psp_Rec_Strain_Solv_GB,r_psp_Rec_Strain_Solv_SA,r_psp_Rec_Strain_vdW,r_psp_Prime_MMGBSA_ligand_efficiency,r_psp_Prime_MMGBSA_ligand_efficiency_sa,r_psp_Prime_MMGBSA_ligand_efficiency_ln
5T8E - minimized 6476139,-70.8828670285548,-23.6857505831613,5.69705164901097,-1.47978043271078,-24.8786384230464,-0.950703184901521,0.0,32.2228142012787,,-57.8078602550196,5.86566077286807,-0.175013704798971,5.69705164901077,0.0,-0.123373831212958,0.0,0.0,-0.221302237972338,,0.688298897841477,-1.13739741074454,-2.15752041692325,3.59996650654503,0.0,-2.86649998868306,0.0,0.0,-16.6763379718774,,16.9629944601942,-8865.30994836609,-8463.47446998637,3708.01668711192,-156.178435372564,-669.19291362023,-26.3695437934363,-33.6058978413249,-2350.25875926726,,-874.246615596821,-1.13739741074454,-2.15752041692325,3.59996650654503,0.0,-2.86649998868306,0.0,0.0,-16.6763379718774,,16.9629944601942,-8793.28968392679,-8437.63119898628,3698.71966895636,-154.698654939853,-641.447775208501,-25.4188406085348,-33.6058978413249,-2365.80523549666,,-833.401749801996,-76.7485278014228,-23.5107368783629,4.54747350886464e-13,-1.47978043271078,-24.7552645918333,-0.950703184901521,0.0,32.444116439251,,-58.4961591528611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.72626411648288,-4.08939617472431,-16.6466087359988
5T8E - minimized 6476139,-72.1682463139405,-24.5825091490969,3.24803596999709,-1.88710604799496,-22.5294417360628,-1.42142160001864,0.0,25.9533574610296,,-50.9491612117928,5.20973438612896,3.99666719738106,3.24803596999618,0.0,0.123369377767407,0.0,0.0,-1.88726542702614,,-0.271072731989484,-3.73834573427411,-10.1849937562541,4.65206326349426,0.0,-2.40677827957172,0.0,0.0,-13.700789881551,,17.9021529196085,-8904.02736694385,-8646.31293068464,3671.84037709621,-148.713500225679,-667.893480696294,-24.248200561876,-34.3749392984372,-2182.74323455253,,-871.581458020594,-3.73834573427411,-10.1849937562541,4.65206326349426,0.0,-2.40677827957172,0.0,0.0,-13.700789881551,,17.9021529196085,-8828.12077489563,-8611.54542777929,3663.94027786272,-146.826394177684,-642.957260680659,-22.8267789618573,-34.3749392984372,-2194.99580213201,,-838.534449728409,-77.3779807000701,-28.5791763464786,9.09494701772928e-13,-1.88710604799496,-22.6528111138302,-1.42142160001864,0.0,27.8406228880558,,-50.6780884798033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.7757017813054,-4.1635526719581,-16.9484758434982
5T8E - minimized 6476139,0.250850475144034,0.582963230592213,0.0091752319049192,0.0,-0.0017955614271159,0.0,0.0,-0.342262509348984,,0.00277008342357021,0.130142096245947,-0.0222446782358645,0.00917523190369618,0.0,-0.00179556142689741,0.0,0.0,0.136522143036871,,0.00848496096811502,-4.45917943171389,-10.5910390099188,4.92081291687754,0.0,-3.05850248181371,0.0,0.0,-13.4680752763117,,17.7376244194528,-8838.69427884128,-8363.96608737029,3558.63678071659,-143.747420685651,-624.313996357925,-27.0698048707335,-33.840520284521,-2453.25331355814,,-751.139916430613,-4.45917943171389,-10.5910390099188,4.92081291687754,0.0,-3.05850248181371,0.0,0.0,-13.4680752763117,,17.7376244194528,-8834.48594988471,-8353.95801159096,3553.70679256781,-143.747420685651,-621.253698314684,-27.0698048707335,-33.840520284521,-2439.44297577248,,-768.88031093349,0.120708378899508,0.60520790882947,9.09494701772928e-13,0.0,-1.13686837721616e-13,0.0,0.0,-0.478784652385912,,-0.00571487754450573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.00964809519784747,0.0144721427967712,0.0589114109800318
5T8E - minimized 6476139,-78.7283623064686,-23.276817410022,2.48546695602226,-2.15332336526185,-25.9776555545682,-0.787107009484529,0.0,24.5092581580811,,-53.528184081234,8.13203648559414,11.423286368438,2.48546695602231,0.0,-0.049191385656794,0.0,0.0,-5.01094236710185,,-0.716583086107441,-4.42480535494747,-15.2240975521145,7.00944547504372,0.0,-2.97854310143984,0.0,0.0,-11.8891182970002,,18.6575081205633,-8920.65262304356,-8464.66285085972,3629.05482497057,-149.322510833611,-668.460164350048,-26.103783344654,-34.5234233381515,-2324.75534552741,,-881.879369760525,-4.42480535494747,-15.2240975521145,7.00944547504372,0.0,-2.97854310143984,0.0,0.0,-11.8891182970002,,18.6575081205633,-8837.49945538214,-8426.16193589759,3619.55991253951,-147.169187468349,-639.50396569404,-25.3166763351695,-34.5234233381515,-2337.37548538849,,-847.008693799855,-86.8603987920633,-34.7001037784594,0.0,-2.15332336526185,-25.9284641689114,-0.787107009484529,0.0,29.5202005251831,,-52.8116009951266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.02801393486418,-4.54202090229627,-18.4890975588472
5T8E - minimized 6476139,-76.931474062123,-26.2190551878866,2.77222874486688,-2.26586978403751,-23.215529050799,-1.56484041571475,0.0,25.2367203619974,,-51.6751287305491,4.2767990829542,3.28602268149565,2.7722287448651,0.0,-0.0136204281419809,0.0,0.0,-1.6988544679794,,-0.0689774472851532,0.853939515217292,-5.70327683775935,8.11250566498728,0.0,-3.01938976997199,0.0,0.0,-15.4485201460536,,16.9126206040149,-8868.07410171558,-8400.84690556926,3683.80388058825,-145.645796831342,-666.671646352112,-27.6794069863589,-29.7277718518107,-2390.72257240897,,-890.583882303974,0.853939515217292,-5.70327683775935,8.11250566498728,0.0,-3.01938976997199,0.0,0.0,-15.4485201460536,,16.9126206040149,-8791.99656716867,-8368.92457354361,3672.91914617839,-143.379927047304,-640.436727531341,-26.1145665706442,-29.7277718518107,-2400.51077262491,,-855.82137417744,-81.2082731450773,-29.5050778693821,1.81898940354586e-12,-2.26586978403751,-23.201908622657,-1.56484041571475,0.0,26.9355748299768,,-51.6061512832639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.95890284854319,-4.43835427281479,-18.0671042507339
5T8E - minimized 6476139,0.145165347283182,0.909035761293126,-0.00542356545201983,0.0,0.000312603118345578,0.0,0.0,-0.747888087692445,,-0.0108713639847338,0.0118949983221341,0.00678310076305877,-0.00542356545159262,0.0,0.000312603118043597,0.0,0.0,0.0127715834024684,,-0.00254872350994972,-4.53075476001936,-15.2449828259622,7.01831502817298,0.0,-2.97814662157609,0.0,0.0,-11.9970481115188,,18.6711077708648,-8769.2612045586,-8363.43536659726,3651.43021154591,-145.021339330659,-629.904423655455,-23.9600048732352,-36.5982692127907,-2449.79934875022,,-771.972663684895,-4.53075476001936,-15.2449828259622,7.01831502817298,0.0,-2.97814662157609,0.0,0.0,-11.9970481115188,,18.6711077708648,-8764.87561514587,-8349.09941953259,3644.41732008319,-145.021339330659,-626.926589636997,-23.9600048732352,-36.5982692127907,-2437.05441255101,,-790.632900091776,0.133270348962469,0.902252660531303,-4.54747350886464e-13,0.0,2.27373675443232e-13,0.0,0.0,-0.7606596710948,,-0.00832264047471654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0055832825878147,0.00837492388172205,0.0340916054831
5T8E - minimized 6476139,-75.6856254735758,-16.6192544784772,0.656883004737665,-1.38089399281506,-23.7665130105287,-0.724049673889652,0.0,20.3264627138346,,-54.1782600364377,2.93567742802219,2.87121418772772,0.656883004738094,0.0,0.21920446336663,0.0,0.0,-1.10110945673352,,0.289485228923233,-4.41748182999623,-15.25711209883,7.0186085622723,0.0,-2.97822489500366,0.0,0.0,-11.8788553196997,,18.6781019212649,-8943.62641729477,-8247.17446358294,3533.81500130898,-145.10549705036,-644.420569958611,-25.3904233106429,-41.6616745338298,-2532.16215159426,,-841.52663857311,-4.41748182999623,-15.25711209883,7.0186085622723,0.0,-2.97822489500366,0.0,0.0,-11.8788553196997,,18.6781019212649,-8863.5233099912,-8215.29809700563,3526.13950974197,-143.724603057545,-617.675832053079,-24.6663736367532,-41.6616745338298,-2540.60975898839,,-806.026480457937,-78.621302901598,-19.4904686662048,-4.54747350886464e-13,-1.38089399281506,-23.9857174738953,-0.724049673889652,0.0,21.4275721705681,,-54.4677452653609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.91098559513753,-4.3664783927063,-17.7745207976762
5T8E - minimized 6476139,-72.9736096412689,-18.2945342505409,1.93277972886381,-1.84337963033857,-22.8279344045835,-0.612211977428508,0.0,23.0992744756986,,-54.4276035829423,7.66461757358951,12.3614247063259,1.93277972886403,0.0,0.0957791873931932,0.0,0.0,-4.958585823742,,-1.76678022525161,-4.46131138379172,-15.2259696487785,7.0090634987963,0.0,-2.97869530398302,0.0,0.0,-11.9279632869912,,18.6622533571647,-8926.48645691513,-8171.60273599411,3575.08990134354,-140.558973158234,-655.194282462014,-23.7514216787914,-38.6110293490644,-2582.35191135069,,-889.506004265764,-4.46131138379172,-15.2259696487785,7.0090634987963,0.0,-2.97869530398302,0.0,0.0,-11.9279632869912,,18.6622533571647,-8849.05153589007,-8138.08223209479,3566.14805811588,-138.715593527895,-629.387652753448,-23.1392097013629,-38.6110293490644,-2593.5232225394,,-853.740654039986,-80.6382272148585,-30.655958956866,0.0,-1.84337963033857,-22.9237135919767,-0.612211977428508,0.0,28.0578602994406,,-52.6608233576908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.80667729389496,-4.21001594084244,-17.1376127783087
5T8E - minimized 6476139,-73.8627992661914,-18.5808194331439,2.21118833701075,-1.76077591033319,-22.9725920515941,-0.574793205189401,0.0,20.5032625210802,,-52.6882695240195,6.83645378577381,9.714954051212,2.21118833701106,0.0,0.223342462173866,0.0,0.0,-4.10601897266696,,-1.20701209195604,-4.51593976305003,-15.2256865860403,7.01191035677528,0.0,-2.97849938897501,0.0,0.0,-11.9836117910687,,18.6599476462586,-8774.46157412048,-8289.03917364743,3652.52967722341,-142.204023692745,-645.846971989395,-25.7478867021781,-26.9252472238696,-2463.52567004663,,-833.702278041638,-4.51593976305003,-15.2256865860403,7.01191035677528,0.0,-2.97849938897501,0.0,0.0,-11.9836117910687,,18.6599476462586,-8696.08283509124,-8255.23266762825,3643.30657852962,-140.443247782412,-619.895880548826,-25.1730934969887,-26.9252472238696,-2472.04532077664,,-799.673956163877,-80.6992530519656,-28.2957734843549,0.0,-1.76077591033319,-23.195934513768,-0.574793205189401,0.0,24.6092814937474,,-51.4812574320634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.84087689485351,-4.26131534228027,-17.3464360440526
5T8E - minimized 6476139,-78.540160118755,-22.0739678710779,1.98784988855323,-2.21389052815891,-25.1470580498737,-0.690040839863862,0.0,23.6266383804068,,-54.0296910987404,7.64599935328494,11.9091430233316,1.98784988855346,0.0,0.0885284617404594,0.0,0.0,-5.27265029563824,,-1.06687172470239,-4.06350144810733,-14.1432622558212,5.65965769201356,0.0,-2.23268630049637,0.0,0.0,-12.3588042141708,,19.0115936303675,-8785.14997265428,-8441.29510490401,3638.33311468716,-138.973764936313,-656.17235616839,-21.9806681091568,-36.0350879679246,-2323.76019410523,,-805.265911150409,-4.06350144810733,-14.1432622558212,5.65965769201356,0.0,-2.23268630049637,0.0,0.0,-12.3588042141708,,19.0115936303675,-8702.54631108742,-8405.07787477711,3630.68560710659,-136.759874408154,-628.79261181802,-21.2906272692929,-36.0350879679246,-2335.02802827147,,-770.247813682036,-86.1861594720394,-33.983110894409,0.0,-2.21389052815891,-25.2355865116142,-0.690040839863862,0.0,28.8992886760448,,-52.962819374038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.02077538918289,-4.53116308377433,-18.4448988926044
