  Frame         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        2.466            0      155.250        1.757      118.348
        1        0.282        2.485            0      156.434        8.961      121.042
        2        0.102        2.477            0      156.104        4.237      119.531
        3        0.212        2.507            0      156.917        9.332      121.218
        4        0.223        2.512            0      156.396        9.232      120.595
        5        0.123        2.505            0      157.218        4.343      119.821
        6        0.071        2.499            0      156.966        3.061      119.035
        7        0.262        2.479            0      155.861        2.942      119.226
        8        0.136        2.494            0      156.426        2.264      118.470
        9        0.107        2.487            0      157.244        0.410      119.205
       10        0.146        2.514            0      157.250        1.470      119.733
       11        0.146        2.509            0      156.811        0.290      121.828
       12        0.240        2.472            0      155.679        0.618      117.826
       13        0.215        2.474            0      155.449        0.000      118.526
       14        0.126        2.487            0      156.743        0.535      119.155
       15        0.187        2.499            0      156.850        4.320      119.997
       16        0.253        2.503            0      156.947        2.602      120.518
       17        0.069        2.487            0      156.810        2.094      118.781
       18        0.112        2.504            0      156.753        0.766      119.546
       19        0.169        2.487            0      156.424        3.540      119.407
       20        0.145        2.485            0      156.347        5.120      118.400
       21        0.152        2.489            0      157.132        1.240      118.094
       22        0.078        2.479            0      156.267        4.779      118.550
       23        0.172        2.488            0      156.260        1.629      117.827
       24        0.104        2.497            0      156.361        0.651      120.296
       25        0.153        2.506            0      157.570        1.233      118.464
       26        0.131        2.504            0      156.964        0.442      119.914
       27        0.252        2.481            0      156.018        2.026      120.313
       28        0.176        2.450            0      154.958        0.355      116.898
       29        0.179        2.466            0      156.285        4.620      118.905
       30        0.106        2.488            0      156.753        4.184      118.078
       31        0.210        2.506            0      156.975        2.681      119.447
       32        0.192        2.485            0      156.374        2.996      118.875
       33        0.117        2.485            0      156.303        0.980      119.015
       34        0.192        2.481            0      156.753        3.462      119.728
       35        0.092        2.474            0      155.762        1.289      119.208
       36        0.114        2.501            0      156.594        0.359      120.771
       37        0.088        2.504            0      157.410        0.161      117.739
       38        0.141        2.512            0      156.983        0.507      119.025
       39        0.169        2.480            0      156.128        2.852      117.918
       40        0.097        2.508            0      157.170        0.345      120.457
       41        0.092        2.475            0      155.713        3.072      118.872
       42        0.126        2.506            0      157.075        2.250      119.886
       43        0.164        2.462            0      155.454        0.235      117.062
       44        0.191        2.506            0      157.115        2.205      119.542
       45        0.174        2.503            0      157.005        5.683      119.524
       46        0.141        2.459            0      153.915        2.269      118.322
       47        0.090        2.515            0      157.790        1.900      120.961
       48        0.116        2.502            0      157.073        2.253      118.919
       49        0.135        2.505            0      157.090        2.393      120.665
       50        0.163        2.490            0      156.745        5.836      119.004
       51        0.101        2.483            0      155.985        0.662      117.196
       52        0.136        2.491            0      156.880        1.539      119.243
       53        0.111        2.477            0      156.274        0.426      117.589
       54        0.076        2.508            0      157.432        0.721      120.207
       55        0.120        2.494            0      157.072        1.108      119.880
       56        0.192        2.497            0      156.962        1.623      119.201
       57        0.193        2.524            0      157.920        0.938      120.279
       58        0.144        2.479            0      155.831        4.468      117.847
       59        0.219        2.469            0      156.099        3.212      119.392
       60        0.220        2.472            0      155.925        0.854      118.728
       61        0.160        2.497            0      156.630        6.784      119.571
       62        0.203        2.498            0      156.110        0.728      120.585
       63        0.185        2.508            0      157.701        2.823      119.824
       64        0.118        2.503            0      157.310        0.639      119.895
       65        0.168        2.499            0      155.789        1.154      119.903
       66        0.175        2.504            0      157.041       10.985      120.519
       67        0.160        2.498            0      157.434        3.277      117.205
       68        0.141        2.523            0      157.282        1.154      120.720
       69        0.233        2.512            0      156.671        4.578      119.030
       70        0.159        2.494            0      156.491        1.710      119.282
       71        0.155        2.512            0      157.464        1.845      121.212
       72        0.121        2.503            0      157.412        3.405      120.176
       73        0.221        2.501            0      157.012        1.521      119.496
       74        0.246        2.474            0      155.346        0.899      118.860
       75        0.137        2.468            0      154.933        1.765      118.449
       76        0.249        2.502            0      157.602        0.910      121.237
       77        0.129        2.488            0      155.495        1.908      117.913
       78        0.195        2.519            0      158.084        0.129      119.004
       79        0.099        2.507            0      156.819        4.465      119.990
       80        0.180        2.490            0      156.339        0.000      119.287
       81        0.212        2.483            0      155.828        0.554      119.772
       82        0.152        2.504            0      157.336        2.951      119.055
       83        0.233        2.489            0      157.001        0.783      118.560
       84        0.237        2.493            0      156.490        0.131      118.818
       85        0.142        2.509            0      157.232        1.198      119.815
       86        0.187        2.499            0      156.576        3.632      119.088
       87        0.163        2.512            0      157.196        2.376      121.399
       88        0.262        2.474            0      155.899        0.610      117.712
       89        0.217        2.495            0      155.821        0.550      119.899
       90        0.130        2.477            0      155.996        3.209      118.151
       91        0.217        2.489            0      156.251        2.663      119.576
       92        0.182        2.479            0      156.520        0.194      117.273
       93        0.205        2.476            0      155.587        0.017      119.016
       94        0.169        2.486            0      156.818        1.350      118.795
       95        0.121        2.511            0      157.145        2.033      121.619
       96        0.214        2.484            0      156.250        1.587      119.180
       97        0.238        2.470            0      155.405        2.343      120.548
       98        0.196        2.484            0      156.205        1.319      118.350
       99        0.169        2.498            0      156.455        2.361      118.616
      100        0.141        2.490            0      155.731        0.623      119.222
      101        0.160        2.492            0      156.281        2.498      118.946
      102        0.223        2.460            0      154.810        1.921      117.810
      103        0.162        2.495            0      157.185        3.400      117.020
      104        0.127        2.528            0      158.093        2.466      120.256
      105        0.183        2.498            0      156.705        1.709      119.027
      106        0.290        2.496            0      157.553        0.391      119.753
      107        0.217        2.491            0      156.039        1.034      119.923
      108        0.274        2.494            0      157.167        1.104      119.689
      109        0.124        2.501            0      156.569        2.631      121.332
      110        0.261        2.486            0      156.758        4.955      120.136
      111        0.186        2.505            0      157.022        3.810      119.797
      112        0.145        2.502            0      156.777        1.168      120.011
      113        0.197        2.482            0      155.786        0.616      119.193
      114        0.219        2.496            0      156.558        0.964      119.926
      115        0.178        2.493            0      156.936        1.487      119.408
      116        0.191        2.491            0      155.967        5.305      118.059
      117        0.154        2.499            0      155.919        1.562      122.039
      118        0.107        2.494            0      156.581        1.724      119.311
      119        0.240        2.493            0      156.138        1.504      119.161
      120        0.254        2.494            0      157.112        1.914      119.601
      121        0.221        2.481            0      155.511        4.784      117.685
      122        0.268        2.473            0      156.196        2.141      118.922
      123        0.202        2.472            0      155.838        0.420      118.300
      124        0.212        2.488            0      156.209        4.808      120.576
      125        0.132        2.489            0      155.840        1.785      119.697
      126        0.192        2.489            0      156.486        1.090      120.332
      127        0.160        2.473            0      156.202        1.623      117.531
      128        0.126        2.496            0      156.783        0.488      119.194
      129        0.158        2.467            0      155.397        1.043      118.759
      130        0.126        2.498            0      156.983        1.685      119.585
      131        0.276        2.490            0      157.249        1.219      118.810
      132        0.224        2.506            0      156.885        3.936      120.132
      133        0.268        2.469            0      156.195        2.193      117.569
      134        0.250        2.456            0      155.262        0.037      120.684
      135        0.132        2.506            0      157.543        1.650      119.010
      136        0.253        2.483            0      156.590        0.175      119.560
      137        0.117        2.491            0      156.474        1.628      117.148
      138        0.133        2.523            0      158.142        1.778      120.366
      139        0.153        2.480            0      155.619        5.820      119.792
      140        0.189        2.489            0      156.745        1.220      116.195
      141        0.198        2.469            0      155.208        1.029      117.943
      142        0.183        2.501            0      156.724        0.018      120.605
      143        0.095        2.487            0      156.209        2.059      119.396
      144        0.153        2.507            0      156.587        1.532      120.472
      145        0.168        2.496            0      156.897        1.850      120.893
      146        0.130        2.493            0      156.331        7.835      117.889
      147        0.131        2.496            0      157.005        5.029      118.054
      148        0.140        2.484            0      156.454        5.249      116.671
      149        0.183        2.479            0      156.037        0.122      117.365
      150        0.213        2.481            0      155.072        0.185      120.703
