  Frame         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        0.150        3.369            0      232.587        0.000      114.913
      127        0.159        3.453            0      234.700        1.252      113.841
      128        0.184        3.368            0      232.726        0.044      111.577
      129        0.161        3.356            0      231.971        0.000      116.675
      130        0.145        3.350            0      231.476        0.000      116.705
      131        0.261        3.291            0      229.817        0.000      112.203
      132        0.112        3.405            0      233.340        0.000      112.384
      133        0.553        3.550            0      236.016        1.429      113.828
      134        0.439        3.499            0      234.420        0.000      110.467
      135        0.545        3.544            0      237.549        0.000      112.344
      136        0.322        3.296            0      230.179        0.307      116.426
      137        0.200        3.379            0      233.090        0.109      114.803
      138        0.273        3.290            0      229.345        0.000      114.378
      139        0.233        3.353            0      231.928        0.000      114.759
      140        0.159        3.410            0      233.062        2.479      110.964
      141        0.207        3.360            0      231.703        1.318      114.480
      142        0.123        3.376            0      232.207        2.790      113.025
      143        0.225        3.298            0      230.439        1.122      114.587
      144        0.431        3.487            0      236.149        0.000      115.650
      145        0.159        3.367            0      231.397        0.143      113.583
      146        0.227        3.307            0      230.289        0.171      112.844
      147        0.237        3.371            0      231.232        0.000      117.138
      148        0.118        3.355            0      230.447        1.285      109.870
      149        0.164        3.452            0      234.137        0.204      119.190
      150        0.284        3.342            0      233.198        0.000      113.420
      151        0.280        3.311            0      229.831        0.047      114.247
      152        0.173        3.446            0      233.370        0.000      116.646
      153        0.163        3.399            0      232.385        0.612      115.254
      154        0.216        3.330            0      232.351        0.000      114.868
      155        0.484        3.525            0      234.341        0.179      114.526
      156        0.627        3.541            0      235.058        0.000      114.297
      157        0.132        3.360            0      231.151        0.203      115.471
      158        0.610        3.541            0      236.160        0.093      112.819
      159        0.181        3.427            0      234.957        0.000      112.112
      160        0.138        3.382            0      232.822        0.982      114.046
      161        0.127        3.387            0      232.417        0.492      111.798
      162        0.200        3.368            0      232.487        3.073      117.167
      163        0.412        3.498            0      233.883        0.364      112.966
      164        0.141        3.371            0      232.328        0.000      117.410
      165        0.138        3.376            0      232.246        0.114      113.110
      166        0.179        3.357            0      232.563        0.325      117.331
      167        0.164        3.373            0      234.042        0.137      113.440
      168        0.209        3.341            0      230.784        3.027      115.559
      169        0.175        3.353            0      232.549        0.000      116.289
      170        0.152        3.405            0      233.547        0.406      116.958
      171        0.164        3.385            0      231.741        0.620      117.320
      172        0.198        3.363            0      232.330        0.000      116.705
      173        0.146        3.346            0      231.306        0.000      111.910
      174        0.188        3.385            0      233.437        0.507      116.486
      175        0.111        3.372            0      233.056        0.000      112.769
      176        0.180        3.332            0      230.650        0.064      115.159
      177        0.265        3.335            0      232.835        0.923      112.854
      178        0.334        3.279            0      230.114        0.000      113.868
      179        0.238        3.308            0      231.700        0.000      112.413
      180        0.217        3.329            0      231.515        0.694      117.458
      181        0.162        3.391            0      233.192        0.000      118.411
      182        0.324        3.330            0      230.677        0.322      119.205
      183        0.133        3.348            0      230.484        0.554      117.247
      184        0.184        3.346            0      231.318        0.099      114.158
      185        0.200        3.418            0      234.572        0.227      115.987
      186        0.131        3.417            0      234.532        0.000      113.405
      187        0.180        3.414            0      233.095        0.621      115.843
      188        0.134        3.362            0      232.545        0.000      114.854
      189        0.203        3.384            0      233.645        0.000      118.236
      190        0.111        3.386            0      232.475        0.000      111.795
      191        0.223        3.326            0      230.240        0.000      117.711
      192        0.334        3.338            0      233.579        0.774      117.038
      193        0.076        3.369            0      230.698        1.625      111.967
      194        0.164        3.363            0      232.368        0.000      114.453
      195        0.137        3.422            0      234.782        0.000      116.535
      196        0.254        3.345            0      231.942        0.000      117.077
      197        0.181        3.335            0      231.493        0.000      115.443
      198        0.169        3.350            0      231.599        0.370      116.437
      199        0.136        3.371            0      231.599        0.000      115.911
      200        0.168        3.351            0      230.733        0.000      114.426
      201        0.220        3.355            0      232.375        0.000      115.933
      202        0.121        3.343            0      231.372        0.864      110.122
      203        0.167        3.367            0      231.609        2.043      112.810
      204        0.171        3.426            0      232.768        3.194      114.779
      205        0.217        3.368            0      233.261        0.000      113.957
      206        0.227        3.317            0      230.875        0.153      113.258
      207        0.109        3.385            0      233.614        0.000      114.244
      208        0.143        3.395            0      233.229        0.000      111.217
      209        0.147        3.358            0      230.532        0.182      110.751
      210        0.212        3.299            0      229.211        0.034      116.475
      211        0.164        3.358            0      231.314        1.460      116.225
      212        0.088        3.394            0      234.091        2.381      111.133
      213        0.171        3.421            0      234.807        0.090      113.937
      214        0.219        3.448            0      234.447        0.518      118.617
      215        0.140        3.376            0      233.050        0.000      117.714
      216        0.271        3.309            0      229.944        0.096      112.628
      217        0.218        3.375            0      232.613        0.000      117.299
      218        0.170        3.360            0      232.533        0.000      115.481
      219        0.188        3.402            0      231.446        1.080      116.435
      220        0.215        3.358            0      231.273        1.393      120.967
      221        0.107        3.377            0      232.118        0.572      116.288
      222        0.292        3.261            0      228.922        0.705      112.964
      223        0.186        3.445            0      233.234        0.566      107.559
      224        0.428        3.520            0      235.524        0.269      116.732
      225        0.162        3.422            0      235.457        0.492      113.548
      226        0.247        3.353            0      233.791        0.000      115.118
      227        0.140        3.406            0      234.801        0.103      113.125
      228        0.137        3.391            0      233.097        1.472      114.818
      229        0.214        3.380            0      234.358        0.036      118.352
      230        0.249        3.311            0      228.678        0.070      112.794
      231        0.200        3.416            0      233.837        0.000      114.673
      232        0.198        3.321            0      231.491        1.215      111.306
      233        0.456        3.457            0      233.176        2.300      116.489
      234        0.271        3.443            0      232.810        0.037      118.159
