  Frame         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        3.458            0      243.707        0.966      121.255
        1        0.176        3.449            0      241.653        0.021      116.463
        2        0.525        3.457            0      243.371        0.000      121.779
        3        0.578        3.428            0      239.510        0.211      114.965
        4        0.772        3.452            0      241.307        0.000      119.160
        5        0.619        3.529            0      244.271        0.000      114.836
        6        0.566        3.417            0      242.490        0.000      113.394
        7        0.618        3.451            0      243.050        1.889      121.611
        8        0.666        3.456            0      241.971        3.285      124.079
        9        0.685        3.443            0      244.099        0.597      124.877
       10        0.484        3.440            0      239.837        0.171      115.022
       11        0.441        3.481            0      245.477        2.201      121.495
       12        0.635        3.438            0      241.087        0.104      116.381
       13        0.636        3.470            0      243.187        3.714      120.861
       14        0.431        3.437            0      240.749        0.104      115.442
       15        0.504        3.437            0      243.643        0.000      120.802
       16        0.560        3.422            0      240.398        1.016      113.695
       17        0.710        3.408            0      238.556        6.154      118.056
       18        0.708        3.476            0      246.059        0.000      122.447
       19        0.292        3.448            0      243.818        0.000      123.255
       20        0.631        3.451            0      243.114        6.572      119.566
       21        0.729        3.433            0      240.455        0.538      116.884
       22        0.661        3.445            0      243.528        0.020      123.416
       23        0.473        3.453            0      241.914        0.982      115.669
       24        0.683        3.420            0      241.307        0.000      119.248
       25        0.866        3.423            0      240.298        0.000      117.165
       26        0.520        3.448            0      243.614        0.000      120.102
       27        0.655        3.412            0      239.717        0.000      110.220
       28        0.584        3.507            0      241.672        0.271      119.922
       29        0.663        3.467            0      241.797        1.933      115.912
       30        0.604        3.447            0      239.466        0.397      111.612
       31        0.477        3.463            0      245.327        0.204      121.749
       32        0.534        3.441            0      244.007        0.149      118.871
       33        0.535        3.476            0      242.572        0.000      119.183
       34        0.596        3.496            0      245.019        0.000      124.218
       35        0.609        3.483            0      243.346        0.000      118.596
       36        0.632        3.410            0      241.784        0.050      120.139
       37        0.337        3.418            0      241.646        0.000      117.085
       38        0.607        3.505            0      244.161        0.597      114.706
       39        0.516        3.466            0      242.109        2.960      119.030
       40        0.164        3.472            0      245.296        0.390      123.169
       41        0.473        3.453            0      241.711        0.632      121.296
       42        0.388        3.429            0      242.529        0.000      117.403
       43        0.339        3.476            0      245.364        3.088      120.890
       44        0.321        3.432            0      242.466        0.593      115.137
       45        0.497        3.480            0      244.265        0.000      123.425
       46        0.507        3.495            0      243.951        0.288      116.639
