title,r_psp_MMGBSA_dG_Bind,r_psp_MMGBSA_dG_Bind_Coulomb,r_psp_MMGBSA_dG_Bind_Covalent,r_psp_MMGBSA_dG_Bind_Hbond,r_psp_MMGBSA_dG_Bind_Lipo,r_psp_MMGBSA_dG_Bind_Packing,r_psp_MMGBSA_dG_Bind_SelfCont,r_psp_MMGBSA_dG_Bind_Solv_GB,r_psp_MMGBSA_dG_Bind_Solv_SA,r_psp_MMGBSA_dG_Bind_vdW,r_psp_Lig_Strain_Energy,r_psp_Lig_Strain_Coulomb,r_psp_Lig_Strain_Covalent,r_psp_Lig_Strain_Hbond,r_psp_Lig_Strain_Lipo,r_psp_Lig_Strain_Packing,r_psp_Lig_Strain_SelfCont,r_psp_Lig_Strain_Solv_GB,r_psp_Lig_Strain_Solv_SA,r_psp_Lig_Strain_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Complex_Energy,r_psp_Complex_Coulomb,r_psp_Complex_Covalent,r_psp_Complex_Hbond,r_psp_Complex_Lipo,r_psp_Complex_Packing,r_psp_Complex_SelfCont,r_psp_Complex_Solv_GB,r_psp_Complex_Solv_SA,r_psp_Complex_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Receptor_Energy,r_psp_Receptor_Coulomb,r_psp_Receptor_Covalent,r_psp_Receptor_Hbond,r_psp_Receptor_Lipo,r_psp_Receptor_Packing,r_psp_Receptor_SelfCont,r_psp_Receptor_Solv_GB,r_psp_Receptor_Solv_SA,r_psp_Receptor_vdW,r_psp_MMGBSA_dG_Bind(NS),r_psp_MMGBSA_dG_Bind(NS)_Coulomb,r_psp_MMGBSA_dG_Bind(NS)_Covalent,r_psp_MMGBSA_dG_Bind(NS)_Hbond,r_psp_MMGBSA_dG_Bind(NS)_Lipo,r_psp_MMGBSA_dG_Bind(NS)_Packing,r_psp_MMGBSA_dG_Bind(NS)_SelfCont,r_psp_MMGBSA_dG_Bind(NS)_Solv_GB,r_psp_MMGBSA_dG_Bind(NS)_Solv_SA,r_psp_MMGBSA_dG_Bind(NS)_vdW,r_psp_Rec_Strain_Energy,r_psp_Rec_Strain_Coulomb,r_psp_Rec_Strain_Covalent,r_psp_Rec_Strain_Hbond,r_psp_Rec_Strain_Lipo,r_psp_Rec_Strain_Packing,r_psp_Rec_Strain_SelfCont,r_psp_Rec_Strain_Solv_GB,r_psp_Rec_Strain_Solv_SA,r_psp_Rec_Strain_vdW,r_psp_Prime_MMGBSA_ligand_efficiency,r_psp_Prime_MMGBSA_ligand_efficiency_sa,r_psp_Prime_MMGBSA_ligand_efficiency_ln
5T8E - minimized 26305,-66.8913111077582,-16.7729109866159,1.0560680688418,-0.888984527121494,-24.3751118617874,-1.29078666495388,0.0,19.6649375548095,,-44.2845226909346,0.721724300045835,-0.430414868135699,1.0560680688411,0.0,0.0302972081975352,0.0,0.0,0.0194753187174683,,0.046298572425421,-29.6218742465401,-45.3217827221766,10.1719243640334,0.0,-2.35628538963533,0.0,0.0,-8.90828631902507,,16.7925558202635,-8731.59551371847,-8669.73485240184,3798.58222028725,-152.024717762782,-690.812382924995,-28.8300251512264,-23.178811037693,-2199.90297611834,,-765.693968608844,-29.6218742465401,-45.3217827221766,10.1719243640334,0.0,-2.35628538963533,0.0,0.0,-8.90828631902507,,16.7925558202635,-8635.08232836417,-8607.64015869305,3787.35422785438,-151.135733235661,-664.080985673573,-27.5392384862725,-23.178811037693,-2210.65962735413,,-738.202001738173,-67.613035407805,-16.3424961184792,4.54747350886464e-13,-0.888984527121494,-24.405409069985,-1.29078666495388,0.0,19.645462236092,,-44.33082126336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.71618395043101,-5.57427592564651,-17.1940666009594
5T8E - minimized 26305,-55.6156107265997,-12.3053895918674,2.03862971082981,-0.82625543824264,-22.3041687680778,-1.19813523639581,0.0,17.903531122779,,-38.9238225256205,2.70248189899972,0.482814727958051,2.03862971083068,0.0,0.0180776367299234,0.0,0.0,-0.3622231155653,,0.525182939046346,-32.4666843130183,-49.7766587924589,9.60645997284997,0.0,-2.04331822056901,0.0,0.0,-6.78037633734213,,16.5272090645018,-8789.17748830399,-8237.53844481606,3638.10408714606,-145.404323081905,-674.49699455916,-28.2601274235345,-28.130228449191,-2548.74247413473,,-764.708982985459,-32.4666843130183,-49.7766587924589,9.60645997284997,0.0,-2.04331822056901,0.0,0.0,-6.78037633734213,,16.5272090645018,-8701.09519326437,-8175.45639643174,3626.45899746238,-144.578067643663,-650.149507570513,-27.0619921871387,-28.130228449191,-2559.86562892017,,-742.312369524341,-58.3180926255991,-12.7882043198251,-4.54747350886464e-13,-0.82625543824264,-22.3222464048079,-1.19813523639581,0.0,18.265754238344,,-39.4490054646669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.08975615147776,-4.63463422721664,-14.2957059601614
5T8E - minimized 26305,-69.1618945265855,-21.3255287042193,1.14058709766823,-1.79934495630181,-23.9590602667174,-1.00888800793503,0.0,21.5883925403541,,-43.7980522294354,1.23734033083888,-0.860979442490425,1.14058709766802,0.0,-0.0319492757837176,0.0,0.0,0.352681526223265,,0.637000425221746,-29.6864347302657,-45.3162529836842,10.1714853065924,0.0,-2.35294024645908,0.0,0.0,-8.97394505690879,,16.785218250194,-8780.48052076038,-8456.60986483345,3703.3012817061,-151.884679506982,-676.46166955168,-24.3350974811588,-39.4939173754427,-2354.17079171726,,-780.825782000511,-29.6864347302657,-45.3162529836842,10.1714853065924,0.0,-2.35294024645908,0.0,0.0,-8.97394505690879,,16.785218250194,-8681.63219150353,-8389.96808314555,3691.98920930184,-150.08533455068,-650.149669038504,-23.3262094732237,-39.4939173754427,-2366.78523920071,,-753.81294802127,-70.3992348574247,-20.4645492617292,0.0,-1.79934495630181,-23.9271109909337,-1.00888800793503,0.0,21.2357110141311,,-44.4350526546571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.84232747369919,-5.76349121054879,-17.7777083607009
5T8E - minimized 26305,0.0687015463317948,0.0421425911536062,-0.000603828197654366,0.0,0.000678715911931249,0.0,0.0,0.0322677641556766,,-0.00578369669153744,0.0206672614306882,0.00339112254720675,-0.000603828197684564,0.0,0.00067871591188462,0.0,0.0,0.0187814889406042,,-0.00158023777130722,-29.6770239576658,-45.3230969526338,10.170567224492,0.0,-2.35592887626975,0.0,0.0,-8.96157667879503,,16.7930113255407,-8758.51146294918,-8516.04302768548,3684.99746070431,-146.19406835613,-657.630881940512,-25.5260429347201,-30.9764954885973,-2312.94602618848,,-754.192381059569,-29.6770239576658,-45.3230969526338,10.170567224492,0.0,-2.35592887626975,0.0,0.0,-8.96157667879503,,16.7930113255407,-8728.90314053784,-8470.762073324,3674.82749730802,-146.19406835613,-655.275631780154,-25.5260429347201,-30.9764954885973,-2304.01671727384,,-770.979608688419,0.0480342849023145,0.0387514686062786,0.0,0.0,0.0,0.0,0.0,0.0134862752147455,,-0.00420345892018759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0038167525739886,0.0057251288609829,0.0176593782309759
5T8E - minimized 26305,0.0733247978532745,0.0227781336507178,0.000106219971257815,0.0,-2.89810600406781e-07,0.0,0.0,0.0525306960730632,,-0.00208996202741218,-0.0024605404768181,-0.000505252152706248,0.000106219970643195,0.0,-2.8981060662403e-07,0.0,0.0,-0.00212987301455314,,6.86545304127151e-05,-29.8005855297187,-45.3161243613802,10.1708079951364,0.0,-2.35322084606901,0.0,0.0,-9.08950683000083,,16.7874585125949,-8712.73820918664,-8474.97868366168,3653.31323790777,-141.263249249328,-647.157164573404,-22.7061744087141,-36.5501160330925,-2326.74735091217,,-716.648708256014,-29.8005855297187,-45.3161243613802,10.1708079951364,0.0,-2.35322084606901,0.0,0.0,-9.08950683000083,,16.7874585125949,-8683.01094845478,-8429.68533743396,3643.14232369266,-141.263249249328,-644.803943437525,-22.7061744087141,-36.5501160330925,-2317.71037477824,,-733.434076806581,0.0757853383311158,0.0232833858044614,4.54747350886464e-13,0.0,0.0,0.0,0.0,0.0546605690874458,,-0.00215861655783556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.00407359988073747,0.00611039982110621,0.0188477611951736
5T8E - minimized 26305,-67.6647564236846,-23.1791610004211,0.993198796255001,-1.80265207375535,-22.6158477982381,-1.48661196989332,0.0,24.9072621745022,,-44.4809445521298,0.938949217957671,-0.653450898021411,0.993198796255159,0.0,-0.0471993876312204,0.0,0.0,0.276480007814101,,0.369920699541005,-29.6940642831012,-45.3211119106519,10.1693891787472,0.0,-2.35816039511633,0.0,0.0,-8.9823157175128,,16.7981345614326,-8727.80886246287,-8193.81565329182,3692.18372811436,-142.155298602795,-664.671112345542,-25.1753641632925,-28.8205059709424,-2534.24820395028,,-831.106452252539,-29.6940642831012,-45.3211119106519,10.1693891787472,0.0,-2.35816039511633,0.0,0.0,-8.9823157175128,,16.7981345614326,-8630.45004175608,-8125.31538038075,3681.02114013935,-140.35264652904,-639.697104152188,-23.6887521933992,-28.8205059709424,-2550.17315040727,,-803.423642261842,-68.6037056416426,-22.5257101023999,0.0,-1.80265207375535,-22.5686484106069,-1.48661196989332,0.0,24.6307821666878,,-44.8508652516708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.75915313464914,-5.63872970197372,-17.3928767312141
5T8E - minimized 26305,-67.4362613348912,-21.3080757327116,1.18716453361503,-1.48649233960543,-22.8360678075952,-1.47456350349687,0.0,21.100941021472,,-42.6191675065664,0.986510427619706,-0.938912851780927,1.18716453361463,0.0,0.0279638817912695,0.0,0.0,0.352327806468239,,0.357967057526494,-29.6360238598107,-45.3251599909751,10.1716677554394,0.0,-2.35577189102268,0.0,0.0,-8.91818111190159,,16.7914213786493,-8791.36095772249,-8519.6838986553,3615.32712356849,-142.901644370512,-668.066961820636,-24.0513679544939,-32.8316299596557,-2255.46786424222,,-763.684714288169,-29.6360238598107,-45.3251599909751,10.1716677554394,0.0,-2.35577189102268,0.0,0.0,-8.91818111190159,,16.7914213786493,-8694.28867252779,-8453.05066293161,3603.96829127944,-141.415152030907,-642.875122122018,-22.576804450997,-32.8316299596557,-2267.65062415179,,-737.856968160252,-68.4227717625108,-20.3691628809302,4.54747350886464e-13,-1.48649233960543,-22.8640316893865,-1.47456350349687,0.0,20.7486132150038,,-42.9771345640929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.74645896304951,-5.61968844457427,-17.334143246855
5T8E - minimized 26305,0.0117066560487729,0.366222044991446,-0.00256531344848554,0.0,-0.00102563019459012,0.0,0.0,-0.355479325598481,,0.00455488029695061,-0.0126963460229632,-0.00140723415155009,-0.00256531344885502,0.0,-0.00102563019455859,0.0,0.0,-0.0125159193678002,,0.00481775113980731,-32.2125475000976,-50.0384006019962,10.0009038995195,0.0,-2.35949038772784,0.0,0.0,-6.76340545099849,,16.9478450411055,-8817.58317530055,-8368.65197012156,3646.52438549502,-141.736429183226,-648.911100516699,-21.1290475771292,-43.5460785958334,-2482.23381499106,,-757.899119810064,-32.2125475000976,-50.0384006019962,10.0009038995195,0.0,-2.35949038772784,0.0,0.0,-6.76340545099849,,16.9478450411055,-8785.3823344565,-8318.97979156455,3636.52604690895,-141.736429183226,-646.550584498777,-21.1290475771292,-43.5460785958334,-2475.11493021447,,-774.851519731466,0.0244030020712671,0.367629279144239,4.54747350886464e-13,0.0,-1.13686837721616e-13,0.0,0.0,-0.342963406230865,,-0.000262870842789198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.000650369780487381,0.000975554670731071,0.00300913557297249
5T8E - minimized 26305,0.0643561726665212,-0.781624264498532,-0.00389001428720803,0.0,-0.00221602876979432,0.0,0.0,0.853232607368682,,-0.00114612713855422,-0.0237254848868105,0.00317885683281105,-0.00389001428644242,0.0,-0.00221602876984006,0.0,0.0,-0.0269094801407874,,0.00611118147740797,-29.6730220231829,-45.3225939939356,10.1715320403894,0.0,-2.3559409057558,0.0,0.0,-8.95781846259105,,16.7917992987102,-8739.35711645074,-8163.56112307172,3691.09521638346,-146.398423440792,-656.811708404157,-22.7046379203931,-37.3529096382554,-2638.3845784448,,-765.238951914085,-29.6730220231829,-45.3225939939356,10.1715320403894,0.0,-2.3559409057558,0.0,0.0,-8.95781846259105,,16.7917992987102,-8709.74845060023,-8117.45690481329,3680.92757435735,-146.398423440792,-654.453551469631,-22.7046379203931,-37.3529096382554,-2630.27999258958,,-782.029605085657,0.0880816575536301,-0.784803121331606,-4.54747350886464e-13,0.0,0.0,0.0,0.0,0.880142087509284,,-0.0072573086159764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.00357534292591784,0.00536301438887676,0.0165424223368627
5T8E - minimized 26305,-63.8752379323505,-17.5654241031971,1.71313294293213,-1.29546095850498,-22.925924873261,-0.705021668204168,0.0,16.5764491086538,,-39.6729883807662,2.57413889609597,0.142420855102635,1.71313294293209,0.0,-0.0531160547255589,0.0,0.0,-0.0541726699460838,,0.825873822732877,-32.6410033661132,-49.7761498889663,9.60455491450552,0.0,-2.04441340226866,0.0,0.0,-6.95524719602697,,16.5302522066433,-8833.46903937413,-8627.02584126006,3629.08700089881,-147.204303317152,-666.036851909234,-22.2657867431847,-39.1731042585765,-2198.292607908,,-762.557544876723,-32.6410033661132,-49.7761498889663,9.60455491450552,0.0,-2.04441340226866,0.0,0.0,-6.95524719602697,,16.5302522066433,-8736.95279807567,-8559.6842672679,3617.76931304137,-145.908842358647,-641.066513633704,-21.5607650749805,-39.1731042585765,-2207.91380982063,,-739.4148087026,-66.4493768284465,-17.7078449583005,0.0,-1.29546095850498,-22.8728088185354,-0.705021668204168,0.0,16.6306217786,,-40.4988622034991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.54862432957503,-5.32293649436254,-16.4188005433427
