  Frame         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        4.145            1      318.767        2.082      195.817
        1        0.679        4.219            1      321.431        0.000      203.367
        2        0.597        4.112            1      312.867        0.000      194.933
        3        0.689        4.163            1      317.730        0.000      206.210
        4        0.726        4.151            1      317.182        2.190      208.952
        5        0.822        4.114            1      318.764        6.321      208.360
        6        0.655        4.132            1      313.716        0.863      199.505
        7        0.682        4.108            1      316.327        7.847      201.666
        8        0.712        4.200            1      319.796        6.045      206.404
        9        0.611        4.196            1      320.098        5.976      198.899
       10        0.614        4.141            1      315.285        5.149      198.438
       11        0.644        4.198            1      318.127        8.748      198.488
       12        0.752        4.186            1      317.821        6.422      204.121
       13        0.604        4.129            1      314.445        7.413      196.661
       14        0.628        4.187            1      319.039       15.331      201.802
       15        0.595        4.140            1      314.883       10.402      199.080
       16        0.639        4.209            1      318.920        7.342      205.110
       17        0.607        4.165            1      315.446       12.202      191.925
       18        0.795        4.240            1      318.715        7.024      208.978
       19        1.000        4.398            1      322.709        9.059      209.997
       20        0.708        4.251            1      317.487        5.564      206.182
       21        1.209        4.517            1      329.244       14.291      210.709
       22        1.026        4.420            1      325.617       10.970      208.787
       23        1.129        4.529            1      327.552       19.442      209.453
       24        0.834        4.171            2      315.286       16.146      195.274
       25        0.849        4.268            1      321.649        8.213      209.511
       26        0.692        4.088            1      313.256        4.038      200.946
       27        0.595        4.153            1      316.441        5.163      200.334
       28        0.685        4.145            1      314.492        5.359      197.841
       29        0.644        4.243            1      319.642        9.371      205.691
       30        0.652        4.183            1      315.465        6.635      204.875
       31        0.674        4.219            1      318.061        5.249      205.184
       32        0.637        4.171            1      316.225        6.738      200.139
       33        0.638        4.132            1      315.446        6.966      200.829
       34        0.697        4.181            1      316.134        8.524      204.609
       35        0.669        4.150            1      316.854        5.119      192.510
       36        0.679        4.163            1      314.295        9.497      202.139
       37        0.827        4.216            1      321.369       10.379      208.076
       38        0.698        4.166            1      314.777       10.121      203.944
       39        0.790        4.037            1      315.302        8.703      202.856
       40        0.956        4.329            1      319.046       17.017      205.990
       41        0.663        4.156            1      318.742        9.919      199.665
       42        0.634        4.173            1      315.279        6.401      200.870
       43        0.697        4.092            1      315.729        7.340      199.306
       44        0.694        4.236            1      319.301       11.485      202.383
       45        0.638        4.196            1      319.221       11.593      204.419
       46        0.839        4.212            1      323.810        8.189      214.580
       47        0.704        4.174            1      317.503       12.786      201.792
       48        0.728        4.144            1      316.814       12.823      202.940
       49        0.710        4.183            1      315.239       10.010      201.798
       50        0.775        4.221            1      317.707        9.256      203.208
       51        0.611        4.107            1      313.388        9.039      196.989
       52        0.693        4.139            1      316.816        7.554      194.766
       53        0.655        4.155            1      315.897        8.436      197.128
       54        0.703        4.152            1      315.889       11.268      201.727
       55        0.779        4.229            1      317.555       12.822      206.130
       56        0.683        4.145            1      316.976       11.583      204.339
       57        0.680        4.158            1      320.609       11.169      201.142
       58        0.623        4.177            1      319.349        4.246      198.011
       59        0.599        4.147            1      316.850        5.962      200.477
       60        0.804        4.248            1      320.203       17.376      211.004
       61        0.695        4.144            1      317.544       14.838      205.039
       62        0.689        4.152            1      319.386       14.342      205.397
       63        0.836        4.250            1      318.599        6.837      196.531
       64        0.618        4.108            1      314.337       13.218      199.757
       65        0.798        4.277            1      319.978        6.562      204.531
       66        0.671        4.191            1      318.854        4.170      202.733
       67        0.650        4.206            1      318.357       12.561      202.285
       68        0.595        4.108            1      315.226        9.913      195.856
       69        0.908        4.272            2      318.072       11.534      197.509
       70        0.841        4.215            2      317.518       10.265      195.184
       71        0.797        4.264            1      318.562       10.894      200.828
       72        0.734        4.201            2      319.816        9.041      194.607
       73        1.101        4.475            1      325.962       13.919      206.966
       74        1.180        4.535            1      328.743       13.664      205.627
       75        1.096        4.507            1      327.020       16.789      211.537
       76        1.072        4.462            1      328.385       12.340      210.500
       77        1.085        4.517            1      326.659       18.429      217.431
       78        1.259        4.578            1      327.239       15.761      212.433
       79        1.107        4.434            1      325.872        8.783      210.984
       80        1.195        4.510            1      328.302       17.867      204.928
       81        1.100        4.515            1      328.866       15.920      210.146
       82        1.102        4.462            1      326.421       14.057      212.002
       83        1.224        4.563            1      325.263       16.592      209.855
       84        0.972        4.467            1      330.592        9.797      211.178
       85        1.130        4.453            1      325.846        9.121      205.386
       86        1.158        4.552            1      329.005       10.233      211.904
       87        1.125        4.507            1      325.864       10.993      202.113
       88        1.124        4.535            1      326.618       11.064      209.995
       89        1.076        4.497            1      329.334       17.533      212.855
       90        1.043        4.468            1      328.338       11.310      213.099
       91        0.908        4.257            2      316.353        8.839      198.769
       92        1.010        4.438            1      326.921       15.035      205.282
       93        1.089        4.506            1      327.603       17.627      212.701
       94        1.026        4.394            1      327.110       11.524      213.870
       95        1.167        4.522            1      326.026       14.189      206.052
       96        1.341        4.665            2      326.730       15.963      195.885
       97        1.119        4.422            1      320.577       10.656      185.775
       98        0.990        4.389            1      322.170       11.653      183.624
       99        1.132        4.487            2      322.366        8.254      187.065
      100        1.128        4.503            2      323.537        9.465      189.319
      101        1.149        4.454            1      321.285        1.598      190.257
      102        1.211        4.501            2      321.777        0.241      185.353
      103        0.986        4.394            1      322.972        0.964      191.969
      104        1.024        4.424            1      321.996        7.464      192.300
      105        0.969        4.483            1      326.610        7.328      213.299
      106        1.101        4.582            1      327.496        5.572      212.504
      107        0.997        4.497            1      328.038       14.292      214.711
      108        1.040        4.505            1      326.364       13.410      216.739
      109        0.872        4.452            1      327.742       15.123      210.861
      110        0.969        4.522            1      327.892       12.781      215.659
      111        1.049        4.489            1      327.935       10.133      211.559
      112        0.944        4.444            1      325.077       11.606      210.809
      113        0.965        4.373            1      328.934       12.121      211.466
      114        0.975        4.438            1      328.377       12.766      213.527
